what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285334205921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334205937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334210515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334216203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334216625
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285334218468
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1285334230062
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1285334246656
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1285334246687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1285334246765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1285334249421
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1285334274359
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285334284484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334288093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334296656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334296750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334327656
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285334395218
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285334404406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334474218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334475265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334476109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334476109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334476203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334477250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334478312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334479625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334480437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334480437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334480531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334481562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334482375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334486328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334488187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334488187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334489046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334489468
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285334491093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334890718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285334958171
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285335077140
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1285335077343
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285335460812
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285335473328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285335499859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285341016546
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1285341016734
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285341017343
